,station_id,station_name,lat,lon,jan_count,feb_count,mar_count,apr_count,may_count,jun_count,jul_count,aug_count,sep_count,oct_count,nov_count,dec_count
178,6611.02,W 37 St & 10 Ave,40.75660359,-73.9979009,0,0,0,4,1,2,0,2,0,0,0,0
179,6173.08,Broadway & W 25 St,40.74286877312112,-73.98918628692627,0,0,0,1,0,0,0,0,0,2,0,0
180,6535.04,W 34 St & Hudson Blvd E,40.75516719072139,-74.00059908628464,0,0,0,2,2,2,0,1,1,1,1,0
181,7183.03,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,0,0,0,1,0,0,0,0,1,0,0,0
182,5730.08,Greenwich St & W Houston St,40.728846,-74.008591,0,0,0,1,2,0,4,3,0,2,1,1
183,6098.12,Broadway & E 19 St,40.73866091428551,-73.98987293243407,0,0,0,1,0,0,0,0,0,0,0,0
184,7188.13,Madison Ave & E 82 St,40.7781314,-73.96069399,0,0,0,1,0,0,0,0,0,0,0,0
185,5905.14,University Pl & E 14 St,40.734814,-73.992085,0,0,0,1,2,4,2,2,1,0,1,0
186,5001.08,Little West St & 1 Pl,40.705693,-74.016777,0,0,0,1,0,0,1,0,0,0,0,0
187,4317.05,Bushwick Ave & Furman Ave,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,0,0,0,0
188,4366.01,Halsey St & Broadway,40.68565,-73.91564,0,0,0,0,2,0,0,0,0,0,0,0
189,6839.10,Grand Army Plaza & Central Park S,40.735353589,-74.046973348,0,0,0,0,3,0,0,0,0,0,0,0
190,6459.04,10 Ave & W 28 St,40.75066386,-74.00176802,0,0,0,0,2,0,0,1,1,0,0,0
191,5303.06,Clinton St & Grand St,40.71559509,-73.9870295,0,0,0,0,2,0,0,0,0,0,0,0
192,4683.02,Emerson Pl & Myrtle Ave,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,0,0,0,0
193,4319.07,Halsey St & Tompkins Ave,40.6823687,-73.944118,0,0,0,0,2,0,0,1,0,0,0,0
194,6659.01,E 51 St & Lexington Ave,40.735353589,-74.046973348,0,0,0,0,2,1,2,1,1,0,0,0
195,6771.13,W 54 St & 6 Ave,40.761865,-73.977242,0,0,0,0,2,0,0,0,3,5,3,0
196,4060.09,Carroll St & 5 Ave,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,0,0,0,0
197,4281.08,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923,0,0,0,0,2,0,0,0,0,0,0,0
198,5492.05,Cleveland Pl & Spring St,40.735353589,-74.046973348,0,0,0,0,8,0,0,2,0,0,1,1
199,5989.02,W 15 St & 6 Ave,40.738046142482766,-73.99642959237099,0,0,0,0,2,0,0,0,1,0,0,0
200,7141.07,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,0,0,0,0,1,0,0,0,0,0,0,0
201,5411.08,Driggs Ave & N 9 St,40.71816969454208,-73.95520135760307,0,0,0,0,2,0,0,0,0,0,0,0
202,4784.02,Greene Av & Myrtle Av,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,0,0,0,0
203,4816.05,Myrtle Ave & Grove St,40.69905,-73.91516,0,0,0,0,2,0,0,0,0,0,0,0
204,6912.01,7 Ave & Central Park South,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,4,1,1,0
205,7323.09,5 Ave & E 87 St,40.78232260730881,-73.95987510681152,0,0,0,0,4,2,2,0,0,2,0,0
206,4474.01,Halsey St & Evergreen Ave,40.68858,-73.91227,0,0,0,0,2,0,0,0,0,0,0,0
207,5626.07,E 7 St & Avenue A,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,0,0,0,0
208,6030.04,W 13 St & 7 Ave,40.73781509,-73.99994661,0,0,0,0,2,0,0,0,0,0,0,2
209,5679.08,Bleecker St & Crosby St,40.72615604980408,-73.99510189890862,0,0,0,0,1,2,5,0,1,4,0,1
210,5755.09,Washington Square E,40.73049393,-73.9957214,0,0,0,0,2,0,0,2,0,1,0,0
211,5914.08,Greenwich Ave & Charles St,40.735238,-74.000271,0,0,0,0,1,0,1,0,0,0,0,2
212,5569.06,W Broadway & Spring St,40.72494672359416,-74.00165855884552,0,0,0,0,1,2,0,0,0,0,0,0
213,4437.09,Nevins St & Schermerhorn St,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,0,0,0,0
214,4553.04,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,0,0,0,0,2,0,0,0,0,0,0,0
215,6659.09,Madison Av & E 51 St,40.75863,-73.97513,0,0,0,0,2,2,3,1,0,0,0,3
216,5788.12,E 12 St & 3 Ave,40.73223272,-73.98889957,0,0,0,0,2,0,0,0,0,0,1,0
217,5847.08,Washington St & Barrow St,40.73191132323174,-74.008769094944,0,0,0,0,1,0,0,0,2,0,0,0
218,6551.02,W 44 St & 5 Ave,40.75500254,-73.98014437,0,0,0,0,4,1,2,6,3,2,0,0
219,5303.08,Canal St & Rutgers St,40.71427487,-73.98990025,0,0,0,0,2,1,1,0,0,0,0,1
220,5033.01,Broadway & Morris St,40.705945132708806,-74.01321887969969,0,0,0,0,1,1,1,0,2,1,1,0
221,6212.04,48 Ave & 5 St,40.735353589,-74.046973348,0,0,0,0,4,0,0,0,0,0,0,0
222,5340.01,N 7 St & Driggs Ave,40.716967,-73.956388,0,0,0,0,2,0,0,0,0,0,0,0
223,4395.07,Hanson Pl & Ashland Pl,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,0,0,0,0
224,5593.02,E 2 St & 2 Ave,40.72502876,-73.99069656,0,0,0,0,2,0,0,0,0,0,1,0
225,4404.10,Bond St & Bergen St,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,0,0,0,0
226,5905.12,Broadway & E 14 St,40.73454567,-73.99074142,0,0,0,0,2,0,0,0,0,0,0,0
227,5411.07,Union Ave & N 12 St,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,0,0,0,0
228,5752.09,Greenpoint Ave & West St,40.729803,-73.959099,0,0,0,0,2,0,0,0,0,0,0,0
229,4249.10,St Marks Pl & 4 Ave,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,0,0,0,0
230,4243.01,Commerce St & Van Brunt St,40.6812117,-74.00860912,0,0,0,0,2,0,0,0,0,0,0,0
231,6740.10,W 51 St & 6 Ave,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,1,1,1,0
232,6644.08,9 Ave & W 39 St,40.756403523272496,-73.99410143494606,0,0,0,0,2,0,0,0,1,0,0,0
233,5997.10,W 12 St & Hudson St,40.73752993301071,-74.00558933615685,0,0,0,0,2,0,0,0,0,0,0,0
234,6762.02,E 58 St & 3 Ave,40.76095756,-73.96724467,0,0,0,0,1,0,0,0,0,0,0,0
235,5065.04,John St & William St,40.735353589,-74.046973348,0,0,0,0,2,1,0,2,0,0,0,0
236,6822.09,1 Ave & E 68 St,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,0,1,0,0
237,5788.16,E 11 St & 3 Ave,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,0,0,0,0
238,5746.14,E 11 St & 1 Ave,40.72953837,-73.98426726,0,0,0,0,2,1,0,0,0,0,0,0
239,4507.07,Wilson Ave & Moffat St,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,0,0,0,0
240,4446.03,Pacific St & Smith St,40.735353589,-74.046973348,0,0,0,0,2,0,0,0,0,0,0,0
241,4906.07,George St & Wilson Ave,40.735353589,-74.046973348,0,0,0,0,4,0,0,0,0,0,0,0
242,4824.03,Stockholm St & Wilson Ave,40.699304,-73.923044,0,0,0,0,2,2,0,0,0,0,0,0
243,5696.03,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,0,0,0,0,3,4,1,0,0,0,0,0
244,6578.01,W 34 St & 11 Ave,40.75594159,-74.0021163,0,0,0,0,2,6,5,1,2,0,3,0
245,6495.17,31 St & Northern Blvd,40.75186951421875,-73.93349289894103,0,0,0,0,2,0,0,0,0,0,0,0
246,6932.15,E 68 St & Madison Ave,40.735353589,-74.046973348,0,0,0,0,4,0,0,0,0,0,0,0
247,6602.03,W 41 St & 8 Ave,40.75640548,-73.9900262,0,0,0,0,2,0,2,0,5,0,0,3
248,7981.16,Broadway & W 142 St,40.824686,-73.951947,0,0,0,0,1,0,0,0,0,0,0,0
249,5914.03,W 11 St & 6 Ave,40.73532427,-73.99800419,0,0,0,0,1,1,0,0,0,0,0,0
